Trial,N,Time,Flops,Performance
1,100,0.004333,1.990000,459.266097
2,100,0.004045,1.990000,491.965389
3,100,0.003978,1.990000,500.251383
4,100,0.003970,1.990000,501.259446
5,100,0.003691,1.990000,539.149282
1,150,0.012213,6.727500,550.847458
2,150,0.011628,6.727500,578.560372
3,150,0.011555,6.727500,582.215491
4,150,0.011426,6.727500,588.788727
5,150,0.011681,6.727500,575.935280
1,200,0.027426,15.960000,581.929556
2,200,0.027501,15.960000,580.342533
3,200,0.027306,15.960000,584.486926
4,200,0.027291,15.960000,584.808179
5,200,0.027387,15.960000,582.758243
1,250,0.053352,31.187500,584.561029
2,250,0.053370,31.187500,584.363875
3,250,0.053790,31.187500,579.801078
4,250,0.053437,31.187500,583.631192
5,250,0.054226,31.187500,575.139232
1,300,0.093946,53.910000,573.840291
2,300,0.094226,53.910000,572.135079
3,300,0.093973,53.910000,573.675417
4,300,0.094446,53.910000,570.802363
5,300,0.093614,53.910000,575.875403
1,350,0.149575,85.627500,572.472004
2,350,0.148214,85.627500,577.728825
3,350,0.149056,85.627500,574.465302
4,350,0.149234,85.627500,573.780104
5,350,0.148651,85.627500,576.030434
1,400,0.222675,127.840000,574.110250
2,400,0.221057,127.840000,578.312381
3,400,0.221899,127.840000,576.117964
4,400,0.221344,127.840000,577.562527
5,400,0.221741,127.840000,576.528472
1,450,0.317129,182.047500,574.048731
2,450,0.314840,182.047500,578.222272
3,450,0.314080,182.047500,579.621434
4,450,0.316723,182.047500,574.784591
5,450,0.315990,182.047500,576.117915
1,500,0.437261,249.750000,571.169164
2,500,0.433595,249.750000,575.998339
3,500,0.440764,249.750000,566.629761
4,500,0.438596,249.750000,569.430638
5,500,0.437875,249.750000,570.368256
1,550,0.579858,332.447500,573.325711
2,550,0.577349,332.447500,575.817227
3,550,0.578326,332.447500,574.844465
4,550,0.583168,332.447500,570.071575
5,550,0.588670,332.447500,564.743405
1,600,0.750046,431.640000,575.484704
2,600,0.748845,431.640000,576.407668
3,600,0.752017,431.640000,573.976386
4,600,0.748081,431.640000,576.996341
5,600,0.749390,431.640000,575.988471
1,650,0.950370,548.827500,577.488241
2,650,0.950553,548.827500,577.377064
3,650,0.953249,548.827500,575.744113
4,650,0.952893,548.827500,575.959211
5,650,0.955077,548.827500,574.642149
1,700,1.187799,685.510000,577.126265
2,700,1.192724,685.510000,574.743193
3,700,1.195596,685.510000,573.362574
4,700,1.189365,685.510000,576.366380
5,700,1.197871,685.510000,572.273642
1,750,1.482594,843.187500,568.724479
2,750,1.467356,843.187500,574.630492
3,750,1.470458,843.187500,573.418282
4,750,1.469525,843.187500,573.782345
5,750,1.469272,843.187500,573.881147
1,800,1.786264,1023.360000,572.905237
2,800,1.789049,1023.360000,572.013399
3,800,1.802365,1023.360000,567.787324
4,800,1.818773,1023.360000,562.665049
5,800,1.788604,1023.360000,572.155715
1,850,2.149288,1227.527500,571.132161
2,850,2.137896,1227.527500,574.175498
3,850,2.138439,1227.527500,574.029701
4,850,2.137484,1227.527500,574.286170
5,850,2.134625,1227.527500,575.055338
1,900,2.555726,1457.190000,570.166755
2,900,2.529409,1457.190000,576.099002
3,900,2.559203,1457.190000,569.392112
4,900,2.537911,1457.190000,574.169071
5,900,2.522888,1457.190000,577.588066
1,950,2.963677,1713.847500,578.284172
2,950,3.016202,1713.847500,568.213767
3,950,2.972121,1713.847500,576.641227
4,950,2.981257,1713.847500,574.874122
5,950,2.976543,1713.847500,575.784559
1,1000,3.475428,1999.000000,575.180956
2,1000,3.469443,1999.000000,576.173178
3,1000,3.537166,1999.000000,565.141698
4,1000,3.536748,1999.000000,565.208491
5,1000,3.457915,1999.000000,578.094025
1,1050,4.045805,2314.147500,571.986910
2,1050,4.055459,2314.147500,570.625298
3,1050,4.052311,2314.147500,571.068583
4,1050,4.043105,2314.147500,572.368885
5,1050,4.042033,2314.147500,572.520685
1,1100,4.704271,2660.790000,565.611547
2,1100,4.676275,2660.790000,568.997760
3,1100,4.671241,2660.790000,569.610945
4,1100,4.665521,2660.790000,570.309297
5,1100,4.664192,2660.790000,570.471799
1,1150,5.372480,3040.427500,565.926258
2,1150,5.434815,3040.427500,559.435326
3,1150,5.399445,3040.427500,563.100004
4,1150,5.458164,3040.427500,557.042167
5,1150,5.323868,3040.427500,571.093705
