Trial,N,Time,Flops,Performance
1,50,0.000599,0.247500,413.188648
2,50,0.000370,0.247500,668.918919
3,50,0.000360,0.247500,687.500000
4,50,0.000344,0.247500,719.476744
5,50,0.000438,0.247500,565.068493
1,100,0.003073,1.990000,647.575659
2,100,0.002908,1.990000,684.319120
3,100,0.004355,1.990000,456.946039
4,100,0.003264,1.990000,609.681373
5,100,0.002889,1.990000,688.819661
1,150,0.010758,6.727500,625.348578
2,150,0.011031,6.727500,609.872178
3,150,0.013903,6.727500,483.888369
4,150,0.010215,6.727500,658.590308
5,150,0.010127,6.727500,664.313222
1,200,0.025012,15.960000,638.093715
2,200,0.024269,15.960000,657.629074
3,200,0.024097,15.960000,662.323111
4,200,0.024716,15.960000,645.735556
5,200,0.024429,15.960000,653.321872
1,250,0.047522,31.187500,656.274988
2,250,0.047860,31.187500,651.640201
3,250,0.046741,31.187500,667.240752
4,250,0.047052,31.187500,662.830485
5,250,0.046562,31.187500,669.805850
1,300,0.084119,53.910000,640.877804
2,300,0.087803,53.910000,613.988133
3,300,0.085256,53.910000,632.330862
4,300,0.092627,53.910000,582.011724
5,300,0.084454,53.910000,638.335662
1,350,0.161310,85.627500,530.825739
2,350,0.184521,85.627500,464.052872
3,350,0.142870,85.627500,599.338560
4,350,0.142145,85.627500,602.395441
5,350,0.144543,85.627500,592.401569
1,400,0.219723,127.840000,581.823478
2,400,0.214802,127.840000,595.152745
3,400,0.211525,127.840000,604.373006
4,400,0.213521,127.840000,598.723311
5,400,0.210555,127.840000,607.157275
1,450,0.308579,182.047500,589.954274
2,450,0.299974,182.047500,606.877596
3,450,0.299229,182.047500,608.388559
4,450,0.299000,182.047500,608.854515
5,450,0.311785,182.047500,583.887936
1,500,0.451290,249.750000,553.413548
2,500,0.460726,249.750000,542.079240
3,500,0.433952,249.750000,575.524482
4,500,0.435405,249.750000,573.603886
5,500,0.443388,249.750000,563.276408
1,550,0.664511,332.447500,500.288934
2,550,0.723277,332.447500,459.640636
3,550,0.601863,332.447500,552.364076
4,550,0.616963,332.447500,538.845117
5,550,0.608678,332.447500,546.179589
1,600,0.793019,431.640000,544.299695
2,600,0.858584,431.640000,502.734735
3,600,0.906575,431.640000,476.121667
4,600,0.803901,431.640000,536.931786
5,600,0.820018,431.640000,526.378689
1,650,1.041324,548.827500,527.047778
2,650,1.075823,548.827500,510.146651
3,650,1.021394,548.827500,537.331823
4,650,1.020618,548.827500,537.740369
5,650,1.028290,548.827500,533.728326
1,700,1.643123,685.510000,417.199443
2,700,1.598890,685.510000,428.741189
3,700,1.722084,685.510000,398.070013
4,700,1.708521,685.510000,401.230070
5,700,2.205354,685.510000,310.838985
1,750,1.686867,843.187500,499.854168
2,750,1.642849,843.187500,513.247109
3,750,1.499786,843.187500,562.205208
4,750,1.509072,843.187500,558.745706
5,750,1.755839,843.187500,480.219143
1,800,2.640568,1023.360000,387.552981
2,800,2.642308,1023.360000,387.297771
3,800,2.487110,1023.360000,411.465516
4,800,2.554476,1023.360000,400.614451
5,800,2.473731,1023.360000,413.690898
1,850,2.568376,1227.527500,477.939172
2,850,2.499112,1227.527500,491.185469
3,850,2.530688,1227.527500,485.056830
4,850,2.630520,1227.527500,466.648229
5,850,2.585696,1227.527500,474.737750
1,900,2.966498,1457.190000,491.215568
2,900,3.104457,1457.190000,469.386434
3,900,3.087291,1457.190000,471.996323
4,900,3.059279,1457.190000,476.318113
5,900,3.095754,1457.190000,470.706006
1,950,4.011337,1713.847500,427.250939
2,950,4.236276,1713.847500,404.564646
3,950,4.983945,1713.847500,343.873678
4,950,4.113860,1713.847500,416.603263
5,950,4.496400,1713.847500,381.159928
1,1000,6.047627,1999.000000,330.542872
2,1000,5.649822,1999.000000,353.816457
3,1000,5.771037,1999.000000,346.384887
4,1000,5.572078,1999.000000,358.753054
5,1000,5.856258,1999.000000,341.344251
1,1100,6.637339,2660.790000,400.882040
2,1100,6.378322,2660.790000,417.161442
3,1100,8.693018,2660.790000,306.083572
4,1100,6.348852,2660.790000,419.097815
5,1100,6.444843,2660.790000,412.855674
1,1200,9.098353,3454.560000,379.690698
2,1200,9.140360,3454.560000,377.945726
3,1200,8.835450,3454.560000,390.988574
4,1200,9.283655,3454.560000,372.112061
5,1200,10.046737,3454.560000,343.848953
1,1300,13.738892,4392.310000,319.698998
2,1300,13.776090,4392.310000,318.835751
3,1300,14.385487,4392.310000,305.329253
4,1300,13.329557,4392.310000,329.516577
5,1300,14.427915,4392.310000,304.431375
1,1400,17.991896,5486.040000,304.917281
2,1400,17.760046,5486.040000,308.897849
3,1400,20.113908,5486.040000,272.748588
4,1400,18.143866,5486.040000,302.363344
5,1400,18.388298,5486.040000,298.344088
1,1500,30.206646,6747.750000,223.386271
2,1500,26.769971,6747.750000,252.064151
3,1500,27.403013,6747.750000,246.241171
4,1500,27.026763,6747.750000,249.669189
5,1500,30.528698,6747.750000,221.029734
