Trial,N,Time,Flops,Performance
1,10,0.000005,0.001900,380.000000
2,10,0.000005,0.001900,380.000000
3,10,0.000005,0.001900,380.000000
4,10,0.000005,0.001900,380.000000
5,10,0.000005,0.001900,380.000000
1,15,0.000020,0.006525,326.250000
2,15,0.000018,0.006525,362.500000
3,15,0.000005,0.006525,1305.000000
4,15,0.000005,0.006525,1305.000000
5,15,0.000005,0.006525,1305.000000
1,20,0.000014,0.015600,1114.285714
2,20,0.000013,0.015600,1200.000000
3,20,0.000014,0.015600,1114.285714
4,20,0.000013,0.015600,1200.000000
5,20,0.000013,0.015600,1200.000000
1,25,0.000027,0.030625,1134.259259
2,25,0.000028,0.030625,1093.750000
3,25,0.000027,0.030625,1134.259259
4,25,0.000027,0.030625,1134.259259
5,25,0.000027,0.030625,1134.259259
1,30,0.000056,0.053100,948.214286
2,30,0.000049,0.053100,1083.673469
3,30,0.000049,0.053100,1083.673469
4,30,0.000050,0.053100,1062.000000
5,30,0.000051,0.053100,1041.176471
1,35,0.000086,0.084525,982.848837
2,35,0.000085,0.084525,994.411765
3,35,0.000086,0.084525,982.848837
4,35,0.000085,0.084525,994.411765
5,35,0.000091,0.084525,928.846154
1,40,0.000130,0.126400,972.307692
2,40,0.000131,0.126400,964.885496
3,40,0.000131,0.126400,964.885496
4,40,0.000131,0.126400,964.885496
5,40,0.000130,0.126400,972.307692
1,45,0.000209,0.180225,862.320574
2,45,0.000197,0.180225,914.847716
3,45,0.000197,0.180225,914.847716
4,45,0.000197,0.180225,914.847716
5,45,0.000187,0.180225,963.770053
1,50,0.000261,0.247500,948.275862
2,50,0.000262,0.247500,944.656489
3,50,0.000267,0.247500,926.966292
4,50,0.000262,0.247500,944.656489
5,50,0.000262,0.247500,944.656489
1,55,0.000353,0.329725,934.065156
2,55,0.000353,0.329725,934.065156
3,55,0.000358,0.329725,921.019553
4,55,0.000353,0.329725,934.065156
5,55,0.000356,0.329725,926.193820
1,60,0.000462,0.428400,927.272727
2,60,0.000467,0.428400,917.344754
3,60,0.000462,0.428400,927.272727
4,60,0.000467,0.428400,917.344754
5,60,0.000463,0.428400,925.269978
1,65,0.000594,0.545025,917.550505
2,65,0.000600,0.545025,908.375000
3,65,0.000598,0.545025,911.413043
4,65,0.000628,0.545025,867.874204
5,65,0.000622,0.545025,876.245981
1,70,0.000756,0.681100,900.925926
2,70,0.000757,0.681100,899.735799
3,70,0.000757,0.681100,899.735799
4,70,0.000757,0.681100,899.735799
5,70,0.000753,0.681100,904.515272
1,75,0.000944,0.838125,887.844280
2,75,0.000943,0.838125,888.785790
3,75,0.000944,0.838125,887.844280
4,75,0.000945,0.838125,886.904762
5,75,0.000944,0.838125,887.844280
1,80,0.001150,1.017600,884.869565
2,80,0.001151,1.017600,884.100782
3,80,0.001152,1.017600,883.333333
4,80,0.001151,1.017600,884.100782
5,80,0.001151,1.017600,884.100782
1,85,0.001483,1.221025,823.347943
2,85,0.001482,1.221025,823.903509
3,85,0.001395,1.221025,875.286738
4,85,0.001399,1.221025,872.784132
5,85,0.001394,1.221025,875.914634
1,90,0.001657,1.449900,875.015088
2,90,0.001661,1.449900,872.907887
3,90,0.001728,1.449900,839.062500
4,90,0.001727,1.449900,839.548350
5,90,0.001662,1.449900,872.382671
1,95,0.001966,1.705725,867.611902
2,95,0.001966,1.705725,867.611902
3,95,0.001966,1.705725,867.611902
4,95,0.001963,1.705725,868.937850
5,95,0.001967,1.705725,867.170819
1,100,0.002296,1.990000,866.724739
2,100,0.002301,1.990000,864.841373
3,100,0.002298,1.990000,865.970409
4,100,0.002294,1.990000,867.480384
5,100,0.002301,1.990000,864.841373
