Trial,N,Time,Flops,Performance
1,100,0.004156,1.990000,478.825794
2,100,0.004013,1.990000,495.888363
3,100,0.003990,1.990000,498.746867
4,100,0.003797,1.990000,524.097972
5,100,0.003654,1.990000,544.608648
1,150,0.012003,6.727500,560.484879
2,150,0.011414,6.727500,589.407745
3,150,0.011636,6.727500,578.162599
4,150,0.011428,6.727500,588.685684
5,150,0.011555,6.727500,582.215491
1,200,0.027224,15.960000,586.247429
2,200,0.027374,15.960000,583.034997
3,200,0.034828,15.960000,458.251981
4,200,0.038785,15.960000,411.499291
5,200,0.033587,15.960000,475.183851
1,250,0.056440,31.187500,552.577959
2,250,0.054050,31.187500,577.012026
3,250,0.053936,31.187500,578.231608
4,250,0.053931,31.187500,578.285216
5,250,0.053728,31.187500,580.470146
1,300,0.093190,53.910000,578.495547
2,300,0.092869,53.910000,580.495106
3,300,0.094167,53.910000,572.493549
4,300,0.093178,53.910000,578.570049
5,300,0.092492,53.910000,582.861220
1,350,0.146077,85.627500,586.180576
2,350,0.146183,85.627500,585.755526
3,350,0.147081,85.627500,582.179207
4,350,0.147521,85.627500,580.442784
5,350,0.146554,85.627500,584.272691
1,400,0.218611,127.840000,584.783016
2,400,0.218535,127.840000,584.986387
3,400,0.218186,127.840000,585.922103
4,400,0.221351,127.840000,577.544262
5,400,0.220537,127.840000,579.675973
1,450,0.315201,182.047500,577.560033
2,450,0.312287,182.047500,582.949338
3,450,0.319806,182.047500,569.243541
4,450,0.316479,182.047500,575.227740
5,450,0.315842,182.047500,576.387877
1,500,0.429834,249.750000,581.038261
2,500,0.426927,249.750000,584.994624
3,500,0.427046,249.750000,584.831611
4,500,0.427745,249.750000,583.875907
5,500,0.427887,249.750000,583.682140
1,550,0.569846,332.447500,583.398848
2,550,0.569039,332.447500,584.226213
3,550,0.569566,332.447500,583.685648
4,550,0.569811,332.447500,583.434683
5,550,0.569430,332.447500,583.825053
1,600,0.741546,431.640000,582.081220
2,600,0.750417,431.640000,575.200189
3,600,0.743143,431.640000,580.830338
4,600,0.741178,431.640000,582.370227
5,600,0.742879,431.640000,581.036750
1,650,0.944821,548.827500,580.879870
2,650,0.942145,548.827500,582.529759
3,650,0.947263,548.827500,579.382389
4,650,0.942023,548.827500,582.605202
5,650,0.941125,548.827500,583.161110
1,700,1.174011,685.510000,583.904239
2,700,1.177335,685.510000,582.255688
3,700,1.181754,685.510000,580.078426
4,700,1.178633,685.510000,581.614464
5,700,1.182349,685.510000,579.786510
1,750,1.476894,843.187500,570.919443
2,750,1.468809,843.187500,574.062046
3,750,1.471115,843.187500,573.162193
4,750,1.477729,843.187500,570.596842
5,750,1.459779,843.187500,577.613118
1,800,1.809110,1023.360000,565.670413
2,800,1.766260,1023.360000,579.393747
3,800,1.783786,1023.360000,573.701105
4,800,1.769347,1023.360000,578.382872
5,800,1.781862,1023.360000,574.320570
1,850,2.177300,1227.527500,563.784274
2,850,2.127971,1227.527500,576.853491
3,850,2.127892,1227.527500,576.874907
4,850,2.123081,1227.527500,578.182132
5,850,2.119571,1227.527500,579.139599
1,900,2.538070,1457.190000,574.133101
2,900,2.543283,1457.190000,572.956293
3,900,2.643288,1457.190000,551.279316
4,900,2.811099,1457.190000,518.370217
5,900,2.506833,1457.190000,581.287226
1,950,2.939270,1713.847500,583.086106
2,950,2.966291,1713.847500,577.774568
3,950,2.949062,1713.847500,581.150040
4,950,3.005153,1713.847500,570.302910
5,950,2.932512,1713.847500,584.429834
1,1000,3.478457,1999.000000,574.680095
2,1000,3.512733,1999.000000,569.072571
3,1000,3.465776,1999.000000,576.782804
4,1000,4.682077,1999.000000,426.947271
5,1000,3.515893,1999.000000,568.561102
1,1050,4.045873,2314.147500,571.977296
2,1050,4.086410,2314.147500,566.303308
3,1050,4.141910,2314.147500,558.715061
4,1050,4.142013,2314.147500,558.701168
5,1050,4.117639,2314.147500,562.008350
1,1100,4.959710,2660.790000,536.480964
2,1100,5.398934,2660.790000,492.836178
3,1100,5.236115,2660.790000,508.161108
4,1100,4.856573,2660.790000,547.873984
5,1100,5.026087,2660.790000,529.395930
1,1150,5.942987,3040.427500,511.599218
2,1150,5.655011,3040.427500,537.651916
3,1150,5.628911,3040.427500,540.144888
4,1150,5.753503,3040.427500,528.448060
5,1150,6.228724,3040.427500,488.130073
1,1200,6.763878,3454.560000,510.736592
2,1200,6.495225,3454.560000,531.861483
3,1200,6.360613,3454.560000,543.117464
4,1200,6.136119,3454.560000,562.987778
5,1200,6.026406,3454.560000,573.237183
1,1250,6.882043,3904.687500,567.373308
2,1250,7.244939,3904.687500,538.953813
3,1250,6.841350,3904.687500,570.748098
4,1250,6.809249,3904.687500,573.438789
5,1250,7.610572,3904.687500,513.060976
1,1300,8.431978,4392.310000,520.910989
2,1300,8.315846,4392.310000,528.185587
3,1300,8.319178,4392.310000,527.974038
4,1300,8.355658,4392.310000,525.668954
5,1300,8.243889,4392.310000,532.795869
1,1350,9.497636,4918.927500,517.910720
2,1350,9.915634,4918.927500,496.077961
3,1350,9.441955,4918.927500,520.964938
4,1350,9.218149,4918.927500,533.613364
5,1350,9.315362,4918.927500,528.044696
1,1400,10.702393,5486.040000,512.599378
2,1400,10.581486,5486.040000,518.456481
3,1400,10.838131,5486.040000,506.179525
4,1400,10.814306,5486.040000,507.294689
5,1400,10.301626,5486.040000,532.541174
1,1450,11.669124,6095.147500,522.331196
2,1450,11.932710,6095.147500,510.793231
3,1450,11.730461,6095.147500,519.599997
4,1450,11.825083,6095.147500,515.442259
5,1450,11.517329,6095.147500,529.215368
1,1500,12.968947,6747.750000,520.300530
2,1500,12.576857,6747.750000,536.521167
3,1500,12.984136,6747.750000,519.691876
4,1500,12.766359,6747.750000,528.557124
5,1500,12.955263,6747.750000,520.850098
1,1550,14.358345,7445.347500,518.538000
2,1550,14.213431,7445.347500,523.824789
3,1550,14.331857,7445.347500,519.496357
4,1550,14.169126,7445.347500,525.462721
5,1550,14.130265,7445.347500,526.907846
1,1600,15.315422,8189.440000,534.718534
2,1600,15.779682,8189.440000,518.986378
3,1600,15.308801,8189.440000,534.949798
4,1600,15.338623,8189.440000,533.909726
5,1600,15.288824,8189.440000,535.648785
1,1650,19.205303,8981.527500,467.658724
2,1650,18.944509,8981.527500,474.096610
3,1650,18.866038,8981.527500,476.068558
4,1650,19.273035,8981.527500,466.015212
5,1650,18.970805,8981.527500,473.439451
1,1700,18.671603,9823.110000,526.098911
2,1700,18.921856,9823.110000,519.140934
3,1700,18.664582,9823.110000,526.296812
4,1700,18.623852,9823.110000,527.447813
5,1700,19.111509,9823.110000,513.989241
1,1750,21.349212,10715.687500,501.924263
2,1750,21.118145,10715.687500,507.416134
3,1750,21.063907,10715.687500,508.722693
4,1750,20.919845,10715.687500,512.225951
5,1750,20.639155,10715.687500,519.192162
1,1800,23.121349,11660.760000,504.328705
2,1800,22.750401,11660.760000,512.551845
3,1800,23.244659,11660.760000,501.653305
4,1800,23.580299,11660.760000,494.512813
5,1800,23.584709,11660.760000,494.420347
1,1850,24.527684,12659.827500,516.144431
2,1850,24.815860,12659.827500,510.150666
3,1850,25.119413,12659.827500,503.985802
4,1850,24.521357,12659.827500,516.277606
5,1850,24.355175,12659.827500,519.800309
1,1900,26.559900,13714.390000,516.356989
2,1900,25.932439,13714.390000,528.850757
3,1900,26.381002,13714.390000,519.858571
4,1900,27.086063,13714.390000,506.326445
5,1900,27.083467,13714.390000,506.374978
1,1950,27.966211,14825.947500,530.137869
2,1950,27.539682,14825.947500,538.348536
3,1950,27.225021,14825.947500,544.570654
4,1950,27.106935,14825.947500,546.942969
5,1950,27.669965,14825.947500,535.813742
1,2000,29.624958,15996.000000,539.950133
2,2000,29.824015,15996.000000,536.346297
3,2000,29.585310,15996.000000,540.673733
4,2000,29.497412,15996.000000,542.284862
5,2000,29.286559,15996.000000,546.189124
1,2050,30.956174,17226.047500,556.465650
2,2050,30.673421,17226.047500,561.595249
3,2050,31.553699,17226.047500,545.927991
4,2050,31.324927,17226.047500,549.915009
5,2050,30.790032,17226.047500,559.468321
1,2100,34.271157,18517.590000,540.325791
2,2100,34.718463,18517.590000,533.364337
3,2100,34.752304,18517.590000,532.844959
4,2100,34.222642,18517.590000,541.091772
5,2100,34.618192,18517.590000,534.909218
1,2150,36.163024,19872.127500,549.515093
2,2150,36.101757,19872.127500,550.447655
3,2150,36.223204,19872.127500,548.602147
4,2150,36.135548,19872.127500,549.932922
5,2150,36.681573,19872.127500,541.746874
1,2200,40.498893,21291.160000,525.722024
2,2200,40.311772,21291.160000,528.162344
3,2200,40.981842,21291.160000,519.526672
4,2200,40.456825,21291.160000,526.268683
5,2200,39.967678,21291.160000,532.709456
1,2250,41.916902,22776.187500,543.365240
2,2250,42.024097,22776.187500,541.979224
3,2250,41.730481,22776.187500,545.792595
4,2250,41.947677,22776.187500,542.966599
5,2250,41.638284,22776.187500,547.001108
1,2300,46.035165,24328.710000,528.480999
2,2300,45.954645,24328.710000,529.406984
3,2300,46.981205,24328.710000,517.839208
4,2300,46.505103,24328.710000,523.140654
5,2300,46.685785,24328.710000,521.116010
1,2350,49.209048,25950.227500,527.346668
2,2350,49.203159,25950.227500,527.409785
3,2350,49.149124,25950.227500,527.989624
4,2350,49.199095,25950.227500,527.453351
5,2350,49.255219,25950.227500,526.852342
1,2400,52.883145,27642.240000,522.704162
2,2400,53.073373,27642.240000,520.830662
3,2400,52.947400,27642.240000,522.069828
4,2400,52.863949,27642.240000,522.893967
5,2400,52.692595,27642.240000,524.594395
1,2450,55.502943,29406.247500,529.814203
2,2450,55.612680,29406.247500,528.768754
3,2450,55.568736,29406.247500,529.186906
4,2450,55.590480,29406.247500,528.979917
5,2450,55.547517,29406.247500,529.389054
1,2500,58.921368,31243.750000,530.261789
2,2500,58.803819,31243.750000,531.321784
3,2500,58.343186,31243.750000,535.516693
4,2500,58.334035,31243.750000,535.600700
5,2500,58.360897,31243.750000,535.354177
