Trial,N,Time,Flops,Performance
1,100,0.004472,1.990000,444.991055
2,100,0.004322,1.990000,460.434984
3,100,0.004131,1.990000,481.723554
4,100,0.004027,1.990000,494.164390
5,100,0.004004,1.990000,497.002997
1,150,0.012578,6.727500,534.862458
2,150,0.011695,6.727500,575.245832
3,150,0.011948,6.727500,563.064948
4,150,0.011649,6.727500,577.517383
5,150,0.011771,6.727500,571.531731
1,200,0.027617,15.960000,577.904914
2,200,0.027669,15.960000,576.818823
3,200,0.027791,15.960000,574.286640
4,200,0.028001,15.960000,569.979644
5,200,0.028146,15.960000,567.043274
1,250,0.054459,31.187500,572.678529
2,250,0.055078,31.187500,566.242420
3,250,0.054887,31.187500,568.212874
4,250,0.054743,31.187500,569.707543
5,250,0.053851,31.187500,579.144306
1,300,0.094636,53.910000,569.656368
2,300,0.095839,53.910000,562.505869
3,300,0.097241,53.910000,554.395780
4,300,0.095203,53.910000,566.263668
5,300,0.095214,53.910000,566.198248
1,350,0.150791,85.627500,567.855509
2,350,0.149924,85.627500,571.139377
3,350,0.149488,85.627500,572.805175
4,350,0.150075,85.627500,570.564718
5,350,0.149954,85.627500,571.025114
1,400,0.222052,127.840000,575.721002
2,400,0.222886,127.840000,573.566756
3,400,0.220996,127.840000,578.472009
4,400,0.222554,127.840000,574.422387
5,400,0.221383,127.840000,577.460781
1,450,0.316025,182.047500,576.054110
2,450,0.315405,182.047500,577.186475
3,450,0.320068,182.047500,568.777572
4,450,0.315091,182.047500,577.761663
5,450,0.323242,182.047500,563.192593
1,500,0.446014,249.750000,559.960001
2,500,0.442762,249.750000,564.072798
3,500,0.439672,249.750000,568.037082
4,500,0.436316,249.750000,572.406238
5,500,0.434697,249.750000,574.538127
1,550,0.580367,332.447500,572.822886
2,550,0.586781,332.447500,566.561460
3,550,0.589485,332.447500,563.962611
4,550,0.582525,332.447500,570.700828
5,550,0.580614,332.447500,572.579201
1,600,0.758410,431.640000,569.138065
2,600,0.758318,431.640000,569.207114
3,600,0.758046,431.640000,569.411355
4,600,0.781579,431.640000,552.266629
5,600,0.762962,431.640000,565.742462
1,650,0.966296,548.827500,567.970373
2,650,0.969707,548.827500,565.972505
3,650,0.964819,548.827500,568.839855
4,650,0.986941,548.827500,556.089472
5,650,0.968134,548.827500,566.892083
1,700,1.218978,685.510000,562.364538
2,700,1.235556,685.510000,554.819045
3,700,1.243567,685.510000,551.244927
4,700,1.223489,685.510000,560.291102
5,700,1.211600,685.510000,565.789039
1,750,1.481352,843.187500,569.201311
2,750,1.547123,843.187500,545.003532
3,750,1.548511,843.187500,544.515021
4,750,1.492076,843.187500,565.110289
5,750,1.558999,843.187500,540.851854
1,800,1.810070,1023.360000,565.370400
2,800,1.816301,1023.360000,563.430841
3,800,1.800401,1023.360000,568.406705
4,800,1.826740,1023.360000,560.211086
5,800,1.820307,1023.360000,562.190883
1,850,2.180699,1227.527500,562.905518
2,850,2.293017,1227.527500,535.332926
3,850,2.265085,1227.527500,541.934409
4,850,2.203113,1227.527500,557.178638
5,850,2.217871,1227.527500,553.471099
1,900,2.613868,1457.190000,557.484158
2,900,2.595624,1457.190000,561.402576
3,900,2.578289,1457.190000,565.177139
4,900,2.644954,1457.190000,550.932077
5,900,2.661415,1457.190000,547.524531
1,950,3.048331,1713.847500,562.224870
2,950,3.064090,1713.847500,559.333277
3,950,3.038182,1713.847500,564.102973
4,950,3.138234,1713.847500,546.118454
5,950,3.040490,1713.847500,563.674770
1,1000,3.636519,1999.000000,549.701514
2,1000,3.741326,1999.000000,534.302544
3,1000,3.831295,1999.000000,521.755699
4,1000,3.838699,1999.000000,520.749348
5,1000,3.700374,1999.000000,540.215665
1,1050,4.161590,2314.147500,556.072919
2,1050,4.193963,2314.147500,551.780619
3,1050,4.202434,2314.147500,550.668375
4,1050,4.262397,2314.147500,542.921624
5,1050,4.262000,2314.147500,542.972196
1,1100,4.871696,2660.790000,546.173242
2,1100,4.843829,2660.790000,549.315428
3,1100,4.803046,2660.790000,553.979704
4,1100,4.821416,2660.790000,551.868995
5,1100,4.833307,2660.790000,550.511275
1,1150,5.508955,3040.427500,551.906396
2,1150,5.504919,3040.427500,552.311033
3,1150,5.519849,3040.427500,550.817151
4,1150,5.518054,3040.427500,550.996330
5,1150,5.502810,3040.427500,552.522711
1,1200,6.274433,3454.560000,550.577239
2,1200,6.315828,3454.560000,546.968663
3,1200,6.293505,3454.560000,548.908756
4,1200,6.282982,3454.560000,549.828091
5,1200,6.342226,3454.560000,544.692037
1,1250,7.312122,3904.687500,534.001963
2,1250,6.840064,3904.687500,570.855404
3,1250,6.774981,3904.687500,576.339255
4,1250,6.869560,3904.687500,568.404308
5,1250,6.865267,3904.687500,568.759744
1,1300,7.971956,4392.310000,550.970176
2,1300,7.969800,4392.310000,551.119225
3,1300,7.941875,4392.310000,553.057055
4,1300,7.952794,4392.310000,552.297721
5,1300,7.930505,4392.310000,553.849976
1,1350,8.755081,4918.927500,561.836892
2,1350,8.922173,4918.927500,551.314966
3,1350,8.921037,4918.927500,551.385170
4,1350,8.928368,4918.927500,550.932432
5,1350,8.885066,4918.927500,553.617441
1,1400,9.946927,5486.040000,551.531141
2,1400,10.044573,5486.040000,546.169558
3,1400,9.986233,5486.040000,549.360304
4,1400,9.971364,5486.040000,550.179494
5,1400,10.019578,5486.040000,547.532042
1,1450,11.196771,6095.147500,544.366541
2,1450,11.173954,6095.147500,545.478127
3,1450,11.100305,6095.147500,549.097300
4,1450,11.513884,6095.147500,529.373711
5,1450,11.510336,6095.147500,529.536888
1,1500,12.755948,6747.750000,528.988516
2,1500,12.189033,6747.750000,553.591905
3,1500,12.051258,6747.750000,559.920798
4,1500,11.994217,6747.750000,562.583618
5,1500,12.022912,6747.750000,561.240904
1,1550,13.116743,7445.347500,567.621665
2,1550,13.145669,7445.347500,566.372659
3,1550,13.132837,7445.347500,566.926057
4,1550,13.131594,7445.347500,566.979721
5,1550,13.154783,7445.347500,565.980260
1,1600,14.430076,8189.440000,567.525770
2,1600,14.517896,8189.440000,564.092758
3,1600,14.833476,8189.440000,552.091769
4,1600,15.019852,8189.440000,545.241058
5,1600,14.740657,8189.440000,555.568181
1,1650,16.028948,8981.527500,560.331689
2,1650,15.942809,8981.527500,563.359161
3,1650,16.305062,8981.527500,550.842892
4,1650,16.963792,8981.527500,529.452819
5,1650,17.587129,8981.527500,510.687532
1,1700,19.458612,9823.110000,504.820693
2,1700,18.478108,9823.110000,531.607998
3,1700,18.919061,9823.110000,519.217629
4,1700,19.118555,9823.110000,513.799814
5,1700,19.145192,9823.110000,513.084956
1,1750,20.867609,10715.687500,513.508160
2,1750,20.822265,10715.687500,514.626411
3,1750,20.061186,10715.687500,534.150249
4,1750,20.028874,10715.687500,535.011978
5,1750,20.039367,10715.687500,534.731836
1,1800,21.290631,11660.760000,547.694430
2,1800,21.252241,11660.760000,548.683784
3,1800,22.005805,11660.760000,529.894726
4,1800,22.004268,11660.760000,529.931739
5,1800,21.960464,11660.760000,530.988781
1,1850,23.569919,12659.827500,537.117989
2,1850,23.430623,12659.827500,540.311177
3,1850,23.354832,12659.827500,542.064593
4,1850,23.320216,12659.827500,542.869221
5,1850,23.221248,12659.827500,545.182907
1,1900,25.318501,13714.390000,541.674643
2,1900,25.254844,13714.390000,543.039981
3,1900,25.299182,13714.390000,542.088278
4,1900,24.360790,13714.390000,562.969838
5,1900,24.640987,13714.390000,556.568209
1,1950,29.884892,14825.947500,496.101759
2,1950,29.558887,14825.947500,501.573266
3,1950,29.111055,14825.947500,509.289255
4,1950,58.237763,14825.947500,254.576185
5,1950,58.513447,14825.947500,253.376758
1,2000,69.921701,15996.000000,228.770178
2,2000,68.340833,15996.000000,234.062116
3,2000,68.198856,15996.000000,234.549389
4,2000,65.670131,15996.000000,243.581058
5,2000,66.932681,15996.000000,238.986393
1,2050,31.013304,17226.047500,555.440578
2,2050,31.233808,17226.047500,551.519286
3,2050,31.395385,17226.047500,548.680881
4,2050,31.416383,17226.047500,548.314155
5,2050,31.582340,17226.047500,545.432906
1,2100,33.502526,18517.590000,552.722204
2,2100,33.722979,18517.590000,549.108962
3,2100,33.765083,18517.590000,548.424241
4,2100,33.941166,18517.590000,545.579076
5,2100,33.423104,18517.590000,554.035616
1,2150,36.335834,19872.127500,546.901648
2,2150,36.964214,19872.127500,537.604492
3,2150,36.970524,19872.127500,537.512736
4,2150,36.655083,19872.127500,542.138385
5,2150,36.299499,19872.127500,547.449085
1,2200,39.048153,21291.160000,545.253959
2,2200,3
